AGE,GENDER,SCHOOL_SECTION,PERSONAL_SMARTPHONE,OTT_SUBSCRIPTION,TELEVISION_SCREEN_TIME,TELEVISION_CONTENT,SOCIAL_MEDIA_PLATFORM,PHONE_SCREEN_TIME,SOCIAL_MEDIA_CONTENT,MOBILE_GAMES,SLEEPING_TIME,WAKEUP_TIME,OUTDOOR_SPORTS,SLEEP_ISSUES,DISTRACTION_DURING_SLEEPING,EYES_STRAINED,SPECTACLES,SPECTACLE_NUMBER,RESTLESS,DISTRACTION_DURING_SEARCHING,CONCENTRATION,DEPRESSED,ANXIETY,BEHAVIOURAL_CHANGES,REPLICATE_SOCIAL_MEDIA,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,News,"Youtube, Instagram",Less than 1 hour,"Entertainment, Educational","Puzzles, Others",Between 10pm and 12am,By 8am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
12,Male,Secondary_section,Yes,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Instagram",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,High,Moderate,Moderate,No,No,No spectacle,Moderate,Moderate,Low,Moderate,Low,Moderate,Moderate,
14,Male,Higher_secondary_section,Yes,Yes,More than 5 hours,"Movies, Sports, Others","Facebook, Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing, Puzzles",After midnight 12am,After 10am,Moderate,High,High,Yes,No,No spectacle,Moderate,High,High,High,High,High,High,
10,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Sports","Facebook, Youtube",Less than 1 hour,"Entertainment, Casual_scrolling",Racing,Before 10pm,After 10am,Moderate,Low,Low,No,No,Less than 1,Low,Low,Low,Low,Low,Low,Low,
11,Female,Secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Tiktok",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Moderate,Moderate,Moderate,Yes,Yes,Between 3 and 5,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,
5,Female,Primary_section,No,No,Between 1 hour & 3 hours,Cartoon,Youtube,Less than 1 hour,"Entertainment, Casual_scrolling",Others,Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Facebook, Youtube, Instagram",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing",After midnight 12am,Between 8am and 10am,Moderate,High,Moderate,No,Yes,Between 1 and 3,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,
10,Female,Secondary_section,Yes,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational, Casual_scrolling",Others,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
14,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram",3 to 5 hours,"Entertainment, Educational, Casual_scrolling","Action, Puzzles",After midnight 12am,After 10am,Moderate,Moderate,Moderate,No,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Low,Low,Low,Low,
6,Female,Primary_section,No,Yes,Between 3 hours & 5 hours,Cartoon,"Youtube, Snapchat",Less than 1 hour,Entertainment,"Racing, Puzzles",Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Moderate,Moderate,
10,Male,Secondary_section,No,No,Less than 1 hour,Cartoon,Instagram,Less than 1 hour,Entertainment,"Racing, Others",Between 10pm and 12am,Between 8am and 10am,High,Moderate,Low,Yes,Yes,Between 3 and 5,Low,Low,Low,Low,Low,Low,Moderate,
7,Female,Primary_section,No,No,Less than 1 hour,Cartoon,"Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational",Others,Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
9,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Moderate,Moderate,Low,Yes,Yes,Between 1 and 3,Low,Low,Low,Low,Low,Low,Low,
13,Male,Higher_secondary_section,Yes,Yes,More than 5 hours,"Cartoon, Movies, Others","Facebook, Instagram",More than 5 hours,"Entertainment, Casual_scrolling",Others,After midnight 12am,After 10am,Low,Moderate,High,Yes,Yes,Less than 1,High,High,Moderate,High,Moderate,High,High,
10,Female,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Facebook, Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Between 10pm and 12am,By 8am,High,Low,Moderate,Yes,Yes,Less than 1,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,
8,Female,Primary_section,No,No,Between 1 hour & 3 hours,Cartoon,"Youtube, Tiktok",1 to 3 hours,Entertainment,Others,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
5,Male,Primary_section,No,No,Less than 1 hour,Cartoon,"Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational",Puzzles,Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
6,Male,Primary_section,Yes,Yes,Less than 1 hour,Cartoon,"Youtube, Instagram",1 to 3 hours,Entertainment,Action,Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,No,Between 3 hours & 5 hours,"Sports, News","Facebook, Youtube, Instagram",3 to 5 hours,"Educational, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,High,High,Yes,Yes,Between 3 and 5,High,High,Low,Moderate,Moderate,High,Moderate,
9,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Movies, Sports, News","Facebook, Youtube",1 to 3 hours,"Educational, Casual_scrolling","Action, Racing",After midnight 12am,Between 8am and 10am,Moderate,Low,Moderate,Yes,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Low,Moderate,High,High,
13,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Movies,"Youtube, Instagram, Snapchat, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,High,Yes,Yes,Between 3 and 5,High,High,High,High,High,High,High,
10,Male,Secondary_section,No,No,Between 1 hour & 3 hours,Cartoon,"Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing, Others",Between 10pm and 12am,After 10am,Low,Moderate,Moderate,Yes,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,
15,Female,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, News","Facebook, Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,High,Yes,Yes,Between 3 and 5,Moderate,High,High,Moderate,High,High,High,
15,Male,Higher_secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Others",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Moderate,Yes,No,Between 3 and 5,High,High,High,Moderate,Low,Low,Low,
13,Female,Higher_secondary_section,Yes,No,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Instagram",3 to 5 hours,"Entertainment, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
10,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports, News","Youtube, Instagram, Snapchat, Others",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Others",After midnight 12am,After 10am,Moderate,Moderate,Low,No,Yes,Between 1 and 3,Moderate,Moderate,Moderate,Moderate,Low,Low,Low,
5,Female,Primary_section,No,No,Less than 1 hour,Cartoon,"Youtube, Instagram",1 to 3 hours,Entertainment,Racing,Between 10pm and 12am,After 10am,Moderate,Moderate,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Low,
11,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Sports","Youtube, Snapchat",3 to 5 hours,"Entertainment, Educational","Action, Puzzles",Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Moderate,No,Yes,Less than 1,Moderate,High,Moderate,Moderate,Moderate,Moderate,High,
12,Female,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, News","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Racing, Puzzles",After midnight 12am,After 10am,Low,High,High,Yes,Yes,Between 1 and 3,High,High,High,Moderate,Moderate,High,High,
9,Female,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies","Youtube, Instagram, Others",1 to 3 hours,"Entertainment, Casual_scrolling","Racing, Puzzles",Between 10pm and 12am,After 10am,Low,High,Moderate,Yes,Yes,Between 1 and 3,Moderate,High,Moderate,Moderate,Moderate,High,Moderate,
13,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,Sports,"Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,High,Yes,Yes,Between 1 and 3,Moderate,High,High,Moderate,Low,High,Moderate,
11,Female,Secondary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies","Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Action, Puzzles",Between 10pm and 12am,After 10am,Low,High,Moderate,Yes,No,No spectacle,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,
12,Male,Secondary_section,No,Yes,Between 1 hour & 3 hours,Cartoon,Instagram,1 to 3 hours,Casual_scrolling,Action,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,Yes,No,Less than 1,Low,Low,Low,Low,Low,Low,Low,
12,Male,Secondary_section,No,No,Between 3 hours & 5 hours,"Sports, Others","Youtube, Others",3 to 5 hours,"Negative, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,Low,Moderate,Moderate,Yes,Yes,Between 1 and 3,High,High,High,Moderate,Moderate,Moderate,Moderate,
9,Male,Secondary_section,Yes,Yes,Less than 1 hour,Cartoon,"Youtube, Snapchat, Others",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Action, Racing",Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
12,Female,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,Before 10pm,After 10am,High,Low,Low,No,No,No spectacle,Low,High,Moderate,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports, News","Youtube, Instagram, Others",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling",Action,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
5,Male,Primary_section,No,No,Less than 1 hour,Cartoon,Youtube,Less than 1 hour,Entertainment,Others,Before 10pm,By 8am,Low,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
13,Female,Higher_secondary_section,Yes,No,Between 1 hour & 3 hours,"Movies, Others","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Negative, Casual_scrolling",Others,Between 10pm and 12am,Between 8am and 10am,Low,High,High,Yes,Yes,Between 1 and 3,Moderate,Moderate,Moderate,High,High,High,High,
7,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies","Youtube, Instagram",3 to 5 hours,"Entertainment, Educational","Puzzles, Others",Before 10pm,Between 8am and 10am,Moderate,Low,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Low,Low,
9,Female,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Sports","Youtube, Snapchat",1 to 3 hours,"Entertainment, Educational","Racing, Puzzles",Before 10pm,By 8am,High,Low,Moderate,No,No,No spectacle,Moderate,Moderate,Moderate,Low,Moderate,Low,Moderate,
14,Female,Higher_secondary_section,Yes,No,Between 1 hour & 3 hours,"Cartoon, Movies, Others","Youtube, Instagram, Snapchat, Tiktok",1 to 3 hours,"Entertainment, Casual_scrolling",Others,Between 10pm and 12am,Between 8am and 10am,Low,Low,Low,No,Yes,Between 3 and 5,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,
12,Male,Secondary_section,Yes,Yes,Between 1 hour & 3 hours,"Movies, Sports, News","Facebook, Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Racing",After midnight 12am,Between 8am and 10am,Moderate,Moderate,High,Yes,Yes,Between 3 and 5,Moderate,High,Moderate,Moderate,High,High,Moderate,
6,Female,Primary_section,No,No,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling",Racing,Between 10pm and 12am,Between 8am and 10am,Moderate,Low,Low,No,Yes,Less than 1,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,
14,Male,Higher_secondary_section,Yes,No,Between 1 hour & 3 hours,"Movies, Sports, News","Facebook, Youtube, Instagram",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Action, Racing",After midnight 12am,After 10am,Low,Moderate,High,Yes,Yes,Between 3 and 5,Moderate,High,Moderate,Moderate,High,Moderate,High,
10,Male,Secondary_section,Yes,No,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Moderate,Moderate,Low,Yes,No,No spectacle,Moderate,Moderate,Moderate,Low,Low,Low,Low,
11,Female,Secondary_section,No,Yes,Between 1 hour & 3 hours,"Cartoon, Movies","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative","Action, Racing",After midnight 12am,After 10am,Low,High,Moderate,No,Yes,Between 3 and 5,High,High,Moderate,Moderate,Moderate,High,High,
7,Male,Primary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Sports","Youtube, Snapchat",1 to 3 hours,"Entertainment, Casual_scrolling","Action, Racing",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Moderate,Low,Moderate,
13,Female,Higher_secondary_section,Yes,Yes,Less than 1 hour,"Movies, Sports","Youtube, Instagram, Snapchat",3 to 5 hours,"Entertainment, Educational, Negative, Casual_scrolling","Action, Puzzles",Between 10pm and 12am,Between 8am and 10am,Moderate,Moderate,Low,No,Yes,Less than 1,Moderate,High,Moderate,Moderate,Moderate,Moderate,Low,
8,Male,Primary_section,Yes,Yes,Less than 1 hour,"Movies, Others","Youtube, Instagram, Others",More than 5 hours,"Entertainment, Negative, Casual_scrolling","Action, Others",After midnight 12am,After 10am,Low,Moderate,Moderate,Yes,No,No spectacle,High,High,High,High,Moderate,Moderate,Low,
11,Male,Secondary_section,No,No,Between 1 hour & 3 hours,"Cartoon, Sports",Youtube,Less than 1 hour,Entertainment,Racing,Before 10pm,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Low,Low,Low,Low,Low,Low,Low,
13,Male,Higher_secondary_section,No,Yes,Between 1 hour & 3 hours,"Sports, News","Youtube, Instagram, Others",1 to 3 hours,"Entertainment, Educational","Action, Puzzles",Between 10pm and 12am,Between 8am and 10am,High,Low,Low,No,No,No spectacle,Moderate,Moderate,Low,Low,Low,Low,Low,
10,Female,Secondary_section,No,Yes,Between 3 hours & 5 hours,"Cartoon, Movies, Sports","Youtube, Instagram, Snapchat",1 to 3 hours,"Entertainment, Educational, Casual_scrolling","Racing, Puzzles",Before 10pm,By 8am,High,Low,Low,No,No,No spectacle,Low,Moderate,Moderate,Low,Low,Low,Moderate,
7,Female,Primary_section,No,No,Less than 1 hour,Cartoon,Youtube,1 to 3 hours,Entertainment,Racing,Before 10pm,After 10am,Moderate,Low,Low,No,No,No spectacle,Low,Moderate,Low,Low,Low,Low,Low,
15,Male,Higher_secondary_section,Yes,Yes,Between 3 hours & 5 hours,"Movies, Sports, News","Facebook, Youtube, Instagram, Tiktok",3 to 5 hours,"Entertainment, Negative, Casual_scrolling",Action,After midnight 12am,After 10am,Low,High,High,Yes,Yes,Between 3 and 5,High,High,High,High,High,Moderate,High,
